"","hhid","cr_surveyed","af_surveyed","sample_purposely","loc_Camp","loc_Host","loc_ITS","gov_Amman","gov_Irbid","gov_Jerash","gov_Mafraq","gov_Zarqa","Azraq","Zaatari","gov_Gaza","cr_female_CLEAN","cr_baseline_age_CLEAN","age_corrected","cr_nationality","af_nationality","af_baseline_role"
"1",113521004,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"2",113521007,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"3",113521014,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"4",113521017,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"5",113521022,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"6",113521030,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"7",113521033,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"8",113521036,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,2
"9",113521037,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,2
"10",113521042,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"11",113521046,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"12",113521059,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"13",113521073,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"14",113521075,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"15",113521076,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"16",113521081,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"17",113521091,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"18",113521101,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,13,0,2,2,1
"19",113521107,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"20",113521118,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"21",113521130,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"22",113521139,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"23",113521160,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"24",113521190,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"25",113522009,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"26",113522015,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"27",113522031,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"28",113522035,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"29",113522037,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,NA,NA
"30",113522052,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"31",113522070,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"32",113522085,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"33",113522120,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"34",113522127,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"35",113522134,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"36",113522162,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,13,0,2,2,1
"37",113522166,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"38",113522173,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"39",113522178,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"40",113522201,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,13,0,2,2,1
"41",113522263,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"42",113523012,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0,2,2,1
"43",113523021,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0,2,2,1
"44",113523024,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"45",113523026,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"46",113523040,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"47",113523043,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"48",113523048,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"49",113523051,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"50",113523078,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"51",113524006,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,17,1,2,2,1
"52",113524010,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,15,0,2,2,1
"53",113524033,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,15,0,2,2,1
"54",113524034,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,17,0,2,2,1
"55",113531008,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,0,2,NA,NA
"56",113531019,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"57",113531023,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,13,0,2,2,1
"58",113531026,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"59",113531031,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,2
"60",113531032,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"61",113531051,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,NA,NA
"62",113531052,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"63",113531053,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"64",113531056,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"65",113531060,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"66",113531066,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"67",113531071,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"68",113531072,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"69",113531080,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,3
"70",113531084,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,13,0,2,2,2
"71",113531090,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"72",113531103,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,3
"73",113531109,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"74",113531113,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"75",113531115,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,NA,NA
"76",113531124,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"77",113531131,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"78",113531135,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,1,2,NA,NA
"79",113531158,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"80",113531161,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"81",113531165,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,3
"82",113531166,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"83",113531175,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"84",113531176,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,NA,NA
"85",113532008,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"86",113532011,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,NA,NA
"87",113532020,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"88",113532021,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"89",113532026,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"90",113532029,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,3
"91",113532030,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"92",113532044,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"93",113532054,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"94",113532058,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"95",113532068,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"96",113532071,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"97",113532076,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"98",113532082,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"99",113532087,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"100",113532088,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"101",113532090,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,NA,NA
"102",113532095,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"103",113532109,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"104",113532117,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"105",113532125,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"106",113532131,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"107",113532164,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"108",113532170,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,NA,NA
"109",113532176,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"110",113532183,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,13,0,2,2,1
"111",113532185,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,1,2,2,1
"112",113532194,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,13,0,2,2,1
"113",113532206,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"114",113532207,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"115",113532211,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,NA,NA
"116",113532215,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"117",113532216,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"118",113532222,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"119",113532224,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"120",113532225,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"121",113532238,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"122",113532245,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,13,0,2,2,1
"123",113533001,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"124",113533005,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"125",113533014,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"126",113533041,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"127",113533055,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"128",113533060,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"129",113533072,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"130",113533077,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"131",113533079,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"132",113533080,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"133",113534002,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,17,0,2,2,1
"134",113534009,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,15,0,2,2,1
"135",113534012,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,17,0,2,2,1
"136",113534029,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,17,0,2,2,1
"137",113535037,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"138",113541024,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"139",113541028,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"140",113541041,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"141",113541043,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"142",113541044,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"143",113541050,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"144",113541065,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"145",113541068,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
